[2026-02-07 15:27:25] User: Gestor de Conteúdo (ID: 2) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:28:02] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:29:06] User: Gestor de Conteúdo (ID: 2) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:29:39] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:29:47] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:29:53] User: Administrador PIRCOM (ID: 1) | Action: DELETE_EVENTO | Details: Evento ID: 5 | IP: ::1
[2026-02-07 15:29:58] User: Gestor de Conteúdo (ID: 2) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:51:09] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:51:15] User: Administrador PIRCOM (ID: 1) | Action: DELETE_EVENTO | Details: Evento ID: 6 | IP: ::1
[2026-02-07 15:51:20] User: Gestor de Conteúdo (ID: 2) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:51:34] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:51:40] User: Administrador PIRCOM (ID: 1) | Action: DELETE_EVENTO | Details: Evento ID: 7 | IP: ::1
[2026-02-07 15:51:44] User: Gestor de Conteúdo (ID: 2) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:52:27] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:52:33] User: Administrador PIRCOM (ID: 1) | Action: DELETE_EVENTO | Details: Evento ID: 8 | IP: ::1
[2026-02-07 15:52:38] User: Gestor de Conteúdo (ID: 2) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:57:02] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-07 15:59:08] User: Gestor de Conteúdo (ID: 2) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-08 12:27:56] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-08 12:38:41] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-08 12:59:34] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-16 20:09:22] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-17 23:54:17] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-17 23:57:39] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-17 23:58:10] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-17 23:58:31] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-18 00:52:46] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
[2026-02-18 06:08:20] User: Administrador PIRCOM (ID: 1) | Action: LOGIN | Details: Usuário fez login com sucesso | IP: ::1
